,Unnamed: 0,CMPD_CHEMBLID,exp,smiles,drug_like,target_actual,fp
228,228,CHEMBL490512,3.77,O=C(CCc1ccccc1)c2ccccc2,1,1,[0 0 0 ... 0 0 0]
37,37,CHEMBL2087849,4.33,Cn1cncc1c2c3C(=O)N(CC4CC4)C(=O)N(CC5CC5)c3nn2Cc6ccnc7ccc(Cl)cc67,1,1,[0 0 0 ... 0 0 0]
1697,1697,CHEMBL473417,2.84,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(c2)c3ccccn3)c(Cl)c1,1,1,[0 0 0 ... 0 0 0]
4164,4164,CHEMBL2151326,2.18,COc1cc(Nc2nc3c(cc2F)ncn3[C@@H](CO)c4ccc(F)cn4)n[nH]1,1,1,[0 1 0 ... 1 0 0]
2134,2134,CHEMBL1366397,2.31,Oc1ccccc1OCC(=O)NC2CCCC2,1,1,[0 0 0 ... 0 0 0]
3296,3296,CHEMBL20969,0.54,C1CC(CCN1)c2ccccc2,1,1,[0 0 0 ... 0 0 0]
235,235,CHEMBL2331753,2.27,CC1=CN([C@H]2CCCN(C2)S(=O)(=O)c3ccc(O)c(Oc4cccc(c4)C(F)(F)F)c3)C(=O)NC1=O,1,1,[0 0 0 ... 0 0 0]
3436,3436,CHEMBL2171022,1.09,OC(=O)COc1cccc(c1)C(=O)N2CCC(CC2)N3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 0 0 ... 0 0 0]
1347,1347,CHEMBL1834184,3.4,CCC(=O)N[C@H]1CC[C@H](C1)C(=O)N(C)c2ccc(cc2)c3oc4ccccc4n3,1,1,[0 0 0 ... 0 0 0]
2567,2567,CHEMBL2164747,0.37,COc1ccc2N=CC(=O)N(CCN3CC[C@@H](NCc4ccc5OCC(=O)Nc5n4)[C@@H](O)C3)c2c1,1,1,[0 0 0 ... 0 0 0]
4004,4004,CHEMBL1351893,3.89,CCCc1c(cnn1c2ccccc2)C(=O)Nc3ccc(F)cc3C,1,1,[0 0 1 ... 0 0 0]
1223,1223,CHEMBL256963,1.19,Clc1ccc2ncc(c3cccc(NC4CNC4)n3)n2c1,1,1,[0 0 0 ... 0 0 0]
1738,1738,CHEMBL515515,1.4,CN(C)CCCNS(=O)(=O)c1ccc(Nc2nccc(n2)c3cnc4cccnn34)cc1,1,1,[0 0 0 ... 0 0 0]
137,137,CHEMBL1809049,4.0,COc1cc(OC2CCN(CC2)C(=O)C)ccc1Nc3ncc(Cl)c(n3)c4cnc5ccccn45,1,1,[0 0 0 ... 0 0 0]
1912,1912,CHEMBL249790,4.17,OCCO[C@H]1C[C@H]([C@H](O)[C@@H]1O)n2nnc3c(N[C@@H]4C[C@H]4c5ccc(F)c(F)c5)nc(SCCC(F)(F)F)nc23,1,1,[0 0 0 ... 0 0 0]
3720,3720,CHEMBL510436,2.74,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(C(=O)N(C)C)c(F)c3)n2,1,1,[0 1 0 ... 0 0 0]
353,353,CHEMBL1308863,2.96,Cc1cc(NC(=O)Nc2ccc(Cl)cc2)n(C)n1,1,1,[0 0 0 ... 0 0 0]
446,446,CHEMBL383760,3.65,CNC(=O)[C@H]1CCCN1Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC,1,1,[0 0 0 ... 0 0 0]
1580,1580,CHEMBL2158769,2.12,OC(=O)[C@H](Cc1ccccc1C#N)N2CCC(CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4)CC2,1,1,[0 1 0 ... 0 0 0]
2379,2379,CHEMBL1789186,0.77,NCC[C@@H](Oc1cc(Cl)c(F)cc1C#N)c2ccccc2,1,1,[0 1 0 ... 0 0 0]
2361,2361,CHEMBL587004,2.91,CN1CCN(CC1)c2nc(NCCNc3ccc(cc3)[N+](=O)[O-])c4ccccc4n2,1,1,[0 0 0 ... 0 0 0]
832,832,CHEMBL1535,0.77,CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,1,1,[0 1 0 ... 0 0 0]
856,856,CHEMBL284954,2.79,CCOC(=O)[C@H](Cc1ccc(cc1)[N+](=O)[O-])NC(=O)c2ccccc2,1,1,[0 1 0 ... 0 0 0]
1972,1972,CHEMBL40999,-0.31,NC(=N)Nc1ccc(Cl)c(Cl)c1,1,1,[0 0 0 ... 0 0 0]
3438,3438,CHEMBL445,1.58,CNCCC=C1c2ccccc2CCc3ccccc13,1,1,[0 0 0 ... 0 0 0]
2263,2263,CHEMBL1824044,0.87,COc1ccc2OCC(=O)N(CCN3CCC(CC3)NCc4ccc5OCC(=O)Nc5n4)c2c1,1,1,[0 0 0 ... 0 0 0]
1269,1269,CHEMBL1916543,0.2,COc1ncc2C=CC(=O)N(CCN3CCC(CC3)NCc4cc5OCCOc5cn4)c2n1,1,1,[0 0 0 ... 0 0 0]
2936,2936,CHEMBL50973,2.56,[O-][N+](=O)c1ccc2C(=O)C(=O)c3ccccc3c2c1,1,1,[0 1 0 ... 0 0 0]
1014,1014,CHEMBL211456,-1.15,CN[C@@H](C)[C@H](O)c1ccccc1,0,0,[0 1 0 ... 0 0 0]
3792,3792,CHEMBL361431,2.6,CCCN1CCC(CC1)Oc2nccc(Nc3cc(NC(=O)c4cccc(c4)N5CCOCC5)ccc3C)n2,1,1,[0 0 0 ... 0 0 0]
2537,2537,CHEMBL168073,2.63,CCN(CC)S(=O)(=O)c1ccc(NC(=O)C(C)(O)C(F)(F)F)cc1,1,1,[0 0 0 ... 0 0 0]
1266,1266,CHEMBL2172000,2.7,C[C@@H]1CN(CCN1C(=O)[C@@H]2CCCC[C@H]2C(=O)NC3(CC3)C#N)c4ccc5c(C)nn(C)c5c4,1,1,[0 0 1 ... 0 0 0]
1767,1767,CHEMBL2153183,2.02,CCCSc1nc(N[C@@H]2CC[C@H](CC2)C(=O)O)ccc1C(=O)NC3CCCCC3,1,1,[0 0 1 ... 0 0 0]
2411,2411,CHEMBL394527,3.27,OC[C@H](O)CN1C(=O)[C@@H](Cc2ccccc12)NC(=O)c3cc4cc(Cl)sc4[nH]3,1,1,[0 1 0 ... 0 1 0]
4025,4025,CHEMBL185658,2.63,CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(cc4)S(=O)(=O)C)c23)cc1,1,1,[0 0 0 ... 0 0 0]
2700,2700,CHEMBL203567,1.91,Nc1c(cnn1c2ccc(F)cc2)C(=O)c3cccc(OC[C@@H](O)CO)c3,1,1,[0 1 0 ... 0 0 0]
3478,3478,CHEMBL1645495,3.46,O=C1C=C(Nc2cc(Cc3ccccc3)ccc12)c4cccnc4,1,1,[0 0 0 ... 0 0 0]
3494,3494,CHEMBL1089168,3.8,FC(F)(F)c1nn(cc1C(=O)NCCNC(=O)c2ccc(Cl)cn2)c3ccccc3,1,1,[0 0 0 ... 0 0 0]
3625,3625,CHEMBL1800658,2.33,CC(C)N(CCNCCc1ccc(O)c2NC(=O)Sc12)C(=O)CCOCCc3ccccc3,1,1,[0 1 0 ... 0 0 0]
2898,2898,CHEMBL637,0.99,COc1ccc(cc1)C(CN(C)C)C2(O)CCCCC2,1,1,[0 1 1 ... 0 0 0]
2491,2491,CHEMBL1255840,-0.27,CC1(C)CCC(CC1)NC(=O)[C@@H](N)CCC(=O)O,1,1,[0 1 0 ... 0 0 0]
1670,1670,CHEMBL1343931,1.8,Cc1nc(CS(=O)(=O)c2ccc(Cl)cc2)cc(n1)N3CCOCC3,1,1,[0 0 0 ... 0 0 0]
3033,3033,CHEMBL1762178,2.93,CC(=O)Nc1cc(CN2C(=O)N(C(=O)C2(C)C)c3ccc(SC(F)(F)F)cc3)ccn1,1,1,[0 0 0 ... 0 0 0]
3788,3788,CHEMBL472210,1.1,CCN1C2=NC(=O)N(C)C(=O)C2=Cc3ccccc13,1,1,[0 0 0 ... 0 0 0]
53,53,CHEMBL2059196,-0.99,CCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F,0,0,[0 0 0 ... 0 0 0]
3940,3940,CHEMBL128134,1.95,CCN1CCN(CC1)C(=O)c2cc3ccccc3[nH]2,1,1,[0 0 0 ... 0 0 0]
3895,3895,CHEMBL202721,3.5,COc1cc2c(Nc3ccc(NC(=O)c4ccccc4)cc3)ncnc2cc1OCCCN5CCOCC5,1,1,[0 0 0 ... 0 0 0]
1680,1680,CHEMBL10188,3.91,CC[C@H](NC(=O)c1c(O)c(nc2ccccc12)c3ccccc3)c4ccccc4,1,1,[0 1 0 ... 0 0 0]
791,791,CHEMBL472618,2.59,Nc1c(NC2CCCC2)nc(nc1N3CCOCC3)C#N,1,1,[0 0 0 ... 0 0 0]
1934,1934,CHEMBL278222,2.16,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NC(=O)NCc3ccncc3)C(=O)C(F)(F)F,1,1,[0 1 0 ... 0 0 0]
1317,1317,CHEMBL1916279,1.46,Cc1ccc(cc1)S(=O)(=O)Nc2c(C(=O)NCC(C)(C)C)c(C)nn2c3ccccc3,1,1,[0 0 0 ... 0 0 0]
2656,2656,CHEMBL110941,2.45,Cc1cc(C)cc(CCOCCS(=O)(=O)NCCNCCc2ccc(O)c3nc(O)sc23)c1,1,1,[0 0 0 ... 0 0 0]
2438,2438,CHEMBL1945031,1.13,Cc1cccc2c(CCNCc3cccc(CCNC[C@H](O)c4ccc(O)c5NC(=O)Sc45)c3)c[nH]c12,1,1,[0 1 0 ... 0 0 0]
3930,3930,CHEMBL451462,2.49,CC(C)n1c(C)ncc1c2nc(Nc3ccc(cc3)C(=O)N4CCN(C)CC4)ncc2F,1,1,[0 1 0 ... 0 0 0]
657,657,CHEMBL2325736,2.2,CS(=O)(=O)NCCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,1,1,[0 1 1 ... 0 0 0]
2473,2473,CHEMBL1944689,2.3,O[C@@H](CNCCc1ccc(CNCCc2c(Cl)cccc2Cl)cc1)c3ccc(O)c4NC(=O)Sc34,1,1,[0 1 0 ... 0 0 0]
149,149,CHEMBL551360,2.62,OCC(CO)N1C=Cc2c(NC(=O)CC34CC5CC(CC(C5)C3)C4)cccc2C1=O,1,1,[0 1 0 ... 0 0 0]
2755,2755,CHEMBL1669170,3.4,O=C(CN1CCOCC1)Nc2ccc(cc2c3ccccc3)c4cccc5C(=O)C=C(Oc45)N6CCOCC6,1,1,[0 0 0 ... 0 0 0]
1775,1775,CHEMBL1490,2.68,OC(CCN1CCCCC1)(C2CCCCC2)c3ccccc3,1,1,[0 0 1 ... 0 0 0]
2752,2752,CHEMBL2325986,2.17,CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccccc4,1,1,[0 1 1 ... 0 0 0]
332,332,CHEMBL567161,3.11,CCNc1nc(Nc2ccccc2)nc(n1)C#N,1,1,[0 0 0 ... 0 0 0]
852,852,CHEMBL2178371,1.3,Cc1nc(C)c(nc1C(=O)N)c2ccc(cc2)C34CCC(CC3)(CC4)C(=O)O,1,1,[0 0 0 ... 0 0 0]
1036,1036,CHEMBL300982,3.07,CC1(C)Cc2c(c3ccccc3)c(c(CC(=O)O)n2C1)c4ccc(Cl)cc4,1,1,[0 0 0 ... 0 0 0]
503,503,CHEMBL180184,4.0,CCN(C1CCN(CCC(c2ccccc2)c3ccccc3)CC1)C(=O)NCc4ccccc4,1,1,[0 1 0 ... 0 0 0]
320,320,CHEMBL1809229,3.2,COc1cc(ccc1Nc2ncc(Cl)c(n2)c3cnc4c(F)cc(F)cn34)N5CCN(CC5)C(=O)C,1,1,[0 0 0 ... 0 0 0]
2594,2594,CHEMBL320777,1.98,Oc1ccc(CCNCCS(=O)(=O)CCCOCCNc2ccccc2)c3sc(O)nc13,1,1,[0 0 0 ... 0 1 0]
3932,3932,CHEMBL1950852,1.61,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccccc2OC)C1)C(C)(C)C,1,1,[0 1 0 ... 0 0 0]
1003,1003,CHEMBL1405928,3.22,C(Sc1nc2cccnc2[nH]1)c3ccccc3,1,1,[0 0 0 ... 0 0 0]
3823,3823,CHEMBL1807869,1.06,O[C@@H](CNCCCSCCNCCc1cccc(Cl)c1)c2ccc(O)c3NC(=O)Sc23,1,1,[0 1 0 ... 0 1 0]
1311,1311,CHEMBL469007,3.97,CN1C(=O)N(CC2CC2)c3nn(Cc4ccnc5ccc(Cl)cc45)c(c6oc(cc6Cl)S(=O)(=O)C)c3C1=O,1,1,[0 0 0 ... 0 0 0]
954,954,CHEMBL1683038,2.35,COc1cc2nnc(C(=O)N)c(Nc3cccc(Cl)c3F)c2cc1N4CCN(C)CC4,1,1,[0 0 0 ... 0 0 0]
1151,1151,CHEMBL1800657,2.23,CCCN(CCNCCc1ccc(O)c2NC(=O)Sc12)C(=O)CCOCCc3ccccc3,1,1,[0 0 0 ... 0 0 0]
3566,3566,CHEMBL1784346,2.1,Cc1onc(C)c1CCC2CCN(CC2)S(=O)(=O)CC3(CCC(F)(F)CC3)N(O)C=O,1,1,[0 0 0 ... 0 0 0]
601,601,CHEMBL213029,1.68,COc1ccc2c(c1)c(CC(=O)O)c(C)n2c3ccnc4cc(Cl)ccc34,1,1,[0 0 0 ... 0 0 0]
3164,3164,CHEMBL549,1.56,CN(C)CCCC1(OCc2cc(ccc12)C#N)c3ccc(F)cc3,1,1,[0 0 0 ... 0 0 0]
98,98,CHEMBL284275,0.2,COc1ccc(Cc2c(N)n[nH]c2N)cc1,1,1,[0 0 0 ... 0 0 0]
1751,1751,CHEMBL2179281,1.69,CCCCC[C@@H](N1CCC[C@@H](C1)N2C=C(C)C(=O)NC2=O)c3ccc(C(=O)O)c(Oc4cccc(Br)c4)c3,1,1,[0 1 0 ... 0 0 0]
1837,1837,CHEMBL1017,2.21,CCCc1nc2c(C)cc(cc2n1Cc3ccc(cc3)c4ccccc4C(=O)O)c5nc6ccccc6n5C,1,1,[0 0 0 ... 0 0 0]
40,40,CHEMBL168899,1.4,OB1N(C(=O)Nc2ccccc12)c3ccccc3,1,1,[0 0 0 ... 0 0 0]
1969,1969,CHEMBL2010851,2.7,CN([C@@H]1CCN(Cc2ccc(cc2)C(F)(F)F)C[C@@H]1F)C(=O)Cc3ccc(cc3)S(=O)(=O)C,1,1,[0 0 0 ... 0 0 0]
2383,2383,CHEMBL2057371,1.37,CC(C)(C)NS(=O)(=O)c1cncc(c1)c2ccc3nc(NC(=O)NCC(=O)N4CCCC4)nn3c2,1,1,[0 1 0 ... 0 0 0]
113,113,CHEMBL404957,1.11,CC(C)C[C@H](N)c1oc(nn1)S(=O)(=O)Cc2ccc(F)cc2,1,1,[0 1 0 ... 0 0 0]
934,934,CHEMBL2325987,2.4,CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(F)cc4,1,1,[0 1 1 ... 0 0 0]
454,454,CHEMBL2153435,2.42,CCNC(=O)C[C@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14,1,1,[0 0 0 ... 0 0 0]
3353,3353,CHEMBL1078979,1.48,c1ccc(nc1)c2n[nH]c(n2)c3ccncc3,1,1,[0 0 0 ... 0 0 0]
722,722,CHEMBL2325701,2.8,CS(=O)(=O)Cc1cc(nc(n1)c2cccc3cc[nH]c23)N4CCOCC4,1,1,[0 0 0 ... 0 0 0]
1108,1108,CHEMBL443239,2.7,CCCN(CCC)C(=O)c1cccc(c1)C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNCc3cccc(OC)c3,1,1,[0 1 0 ... 0 0 0]
1783,1783,CHEMBL1682827,2.3,O=C1CCOc2nc(COc3ccccc3)ccc12,1,1,[0 0 1 ... 0 0 0]
2950,2950,CHEMBL1448393,2.43,CCOC(=O)c1ccccc1c2csc(NS(=O)(=O)c3ccc(Cl)cc3)n2,1,1,[0 0 0 ... 0 0 0]
411,411,CHEMBL1682836,3.1,CN1CCOc2cc(COC3CCCCC3)cnc12,1,1,[0 0 1 ... 0 0 0]
1499,1499,CHEMBL426576,1.51,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(c(F)c2)n3cnc(c3)C#N,1,1,[0 0 0 ... 0 0 0]
3568,3568,CHEMBL89786,4.0,c1ccc(cc1)c2ccc3ccccc3n2,1,1,[0 1 0 ... 0 0 0]
122,122,CHEMBL1962631,-0.56,NC(=N)NC(=O)c1nc(Cl)c(NCc2ccccn2)nc1N,0,0,[0 0 0 ... 0 0 0]
4059,4059,CHEMBL841,3.47,CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,1,1,[0 0 0 ... 0 1 0]
1702,1702,CHEMBL498,-0.33,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,1,1,[0 0 0 ... 0 0 0]
3851,3851,CHEMBL2031221,2.69,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cccc(c5)N6CCOCC6)ccc4C,1,1,[0 0 0 ... 0 0 0]
1377,1377,CHEMBL90125,3.42,CN(C)CC\C=C\1/c2ccccc2Sc3ccc(Cl)cc13,1,1,[0 0 0 ... 0 0 0]
2921,2921,CHEMBL56942,2.14,COc1cc(OC)cc(c1)c2cc3cnc(N)nc3nc2N,1,1,[0 0 0 ... 0 0 0]
396,396,CHEMBL1430654,4.02,O=C(Nc1cccc(NC(=O)c2ccccc2)n1)c3ccccc3,1,1,[0 0 0 ... 0 0 0]
3218,3218,CHEMBL2171021,3.33,Cc1c(Cl)ccc(OC2CCN(CC2)C3CCN(CC3)C(=O)c4cccc(c4)S(=O)(=O)C)c1Cl,1,1,[0 0 0 ... 0 0 0]
1100,1100,CHEMBL1778623,0.67,CCN(CC)S(=O)(=O)c1ccc(cc1)c2cc(ccc2OCC(=O)O)C(F)(F)F,1,1,[0 0 0 ... 0 0 0]
2551,2551,CHEMBL1762547,3.8,CCN(c1ccnc(Nc2cc(cc(c2)N3CCOCC3)N4CCOCC4)n1)c5cc(CO)ccc5C,1,1,[0 0 0 ... 0 0 0]
3063,3063,CHEMBL1426965,3.29,FC(F)(F)c1nnc2ccc(nn12)N3CCCCCC3,1,1,[0 0 1 ... 0 0 0]
516,516,CHEMBL15706,2.3,COc1cccc2c(O)cc(nc12)c3ccccc3,1,1,[0 0 0 ... 0 0 0]
702,702,CHEMBL1950860,2.85,CN[C@@H](C)C(=O)N[C@H](C(=O)N[C@H]1CCCN(CCc2ccc(cc2)C(F)(F)F)C1)C(C)(C)C,1,1,[0 1 0 ... 0 0 0]
2203,2203,CHEMBL1549615,3.9,COc1cc2cc(nc(C)c2cc1OC)c3ccc(O)cc3O,1,1,[0 0 0 ... 0 0 0]
4110,4110,CHEMBL1351571,2.2,Nc1ccc(OCc2ccccc2)cc1,1,1,[0 0 0 ... 0 0 0]
406,406,CHEMBL260091,2.03,C[C@@H](O)[C@H](NC(=O)c1ccc(cc1)C#Cc2ccc(CN3CCOCC3)cc2)C(=O)NO,1,1,[0 1 0 ... 0 0 0]
1397,1397,CHEMBL1200558,-0.46,CC[C@H](C)[C@H](N)C1=N[C@@H](CS1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCC(=O)O)C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@H]2CCCCNC(=O)[C@H](CC(=O)N)NC(=O)[C@@H](CC(=O)O)NC(=O)[C@H](Cc3cnc[nH]3)NC(=O)[C@@H](Cc4ccccc4)NC(=O)[C@@H](NC(=O)[C@@H](CCCN)NC2=O)[C@@H](C)CC,0,0,[0 1 0 ... 0 0 0]
2658,2658,CHEMBL1340091,1.97,O=S(=O)(Nc1ccc(cc1)S(=O)(=O)Nc2nccs2)c3ccc4OCCOc4c3,1,1,[0 0 0 ... 0 0 1]
3983,3983,CHEMBL1946029,2.3,CN(C)C(=O)c1ccc(cc1)C(=C2CCN(Cc3cscn3)CC2)c4cccc5cccnc45,1,1,[0 0 0 ... 0 0 0]
652,652,CHEMBL473967,1.32,CC1(C)Oc2ncnc(N)c2N=C1c3ccc(cc3)[C@@H]4CC[C@@H](CC(=O)O)CC4,1,1,[1 0 0 ... 0 0 0]
3157,3157,CHEMBL1343875,4.19,CC(C(=O)Nc1ccc(Cl)cc1)c2ncc(cc2Cl)C(F)(F)F,1,1,[0 1 0 ... 0 0 0]
3228,3228,CHEMBL2011918,2.91,CNc1c(Br)cnc2[nH]c(nc12)c3ccc(OCCN4CCN(C)CC4)cc3,1,1,[0 0 0 ... 0 0 0]
3666,3666,CHEMBL2207661,3.15,O[C@H](CNC(=O)c1c[nH]nc1C2CC2)CN3CCC(CC3)Oc4ccc(Cl)c(Cl)c4,1,1,[0 1 0 ... 0 0 0]
1110,1110,CHEMBL242818,2.0,Cc1cc(O)ccc1N2C(=O)c3ccc(O)cc3C2=O,1,1,[0 0 0 ... 0 0 0]
976,976,CHEMBL205627,1.5,COC[C@H](C)Oc1cc(O[C@@H](C)Cc2ccccc2)cc(c1)C(=O)Nc3ccc(cn3)C(=O)O,1,1,[0 1 0 ... 1 0 0]
2703,2703,CHEMBL1020,-1.02,Cc1ccc(cc1)C(=O)c2ccc(CC(=O)O)n2C,0,0,[0 0 0 ... 0 0 0]
2094,2094,CHEMBL1939741,3.27,CCN(C)C(=O)c1ccc(cc1)[C@@H](N2CCN(Cc3cccnc3)CC2)c4cccc(NC(=O)C5CCC5)c4,1,1,[0 1 0 ... 0 0 0]
2038,2038,CHEMBL1498995,2.36,CNc1ncc(s1)C(=O)c2ccccc2,1,1,[0 0 0 ... 0 0 0]
2433,2433,CHEMBL1194608,0.53,CN1CCC(=CC1)c2cccc(O)c2,1,1,[0 0 0 ... 0 0 0]
529,529,CHEMBL1762541,3.0,CN(c1ccnc(Nc2cc(CN3CCOCC3)cc(c2)N4CCOCC4)n1)c5cc(CO)ccc5C,1,1,[0 0 0 ... 0 0 0]
161,161,CHEMBL1779497,1.26,Clc1ccc(cc1C(=O)NCC2CCCCC2)N3N=CC(=O)NC3=O,1,1,[0 0 1 ... 0 0 0]
3229,3229,CHEMBL2,1.9,COc1cc2nc(nc(N)c2cc1OC)N3CCN(CC3)C(=O)c4occc4,1,1,[0 0 0 ... 0 0 0]
2367,2367,CHEMBL53966,3.21,O=C(COCc1ccccc1)Nc2ccc3c(c2)C(=O)C(=O)c4ccccc34,1,1,[0 1 0 ... 0 0 0]
2506,2506,CHEMBL2024676,3.15,CN(C)C(=O)N[C@@H]1CC[C@@H](CCN2CCN(CC2)c3ccc(Cl)c(Cl)c3)CC1,1,1,[0 0 0 ... 0 0 0]
2817,2817,CHEMBL2338020,2.3,CCc1[nH]c2nc(Sc3cnc4ccc[n+]([O-])c4c3)nc(N5C[C@@H]6[C@@H](N)[C@@H]6C5)c2c1Cl,1,1,[0 0 0 ... 0 0 0]
1388,1388,CHEMBL129660,0.6,O=C(N1CCNCC1)c2cc3ccccc3[nH]2,1,1,[0 0 0 ... 0 0 0]
1713,1713,CHEMBL277522,0.58,OC(=O)CCC(=O)c1ccc(cc1)c2ccccc2,1,1,[0 0 0 ... 0 0 0]
3333,3333,CHEMBL445565,1.52,Oc1c2ncc3ccccc3c2nn1c4ccc(Cl)cc4,1,1,[0 0 0 ... 0 0 0]
2027,2027,CHEMBL1934422,0.5,C[C@H](NC(=O)c1c(C)nn(C2CCOCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,1,1,[0 1 0 ... 0 0 0]
1184,1184,CHEMBL252083,3.0,CNC(=O)OC[C@@H](C)N(c1cc(Cl)ccc1CO)S(=O)(=O)c2ccc(Cl)cc2,1,1,[0 1 0 ... 0 0 0]
1507,1507,CHEMBL49739,0.63,NC(=O)COc1ccc(OCCNCC(O)COc2ccccc2)cc1,1,1,[0 1 0 ... 0 0 0]
2651,2651,CHEMBL2335886,3.1,COCCOc1ccc(Nc2ncc3cc(ccc3n2)c4ccncc4)cc1,1,1,[0 0 0 ... 0 0 0]
1373,1373,CHEMBL1402150,2.0,Fc1ccc(cc1F)N2C=CN=C(SCC(=O)NC3CCCC3)C2=O,1,1,[0 0 0 ... 0 0 0]
2460,2460,CHEMBL247471,3.1,C[C@@H](N(c1cc(F)ccc1F)S(=O)(=O)c2ccc(Cl)cc2)c3ccc(F)cc3CCCC(=O)O,1,1,[0 1 0 ... 0 0 0]
711,711,CHEMBL213294,2.94,COc1ccc(NC(=O)CSc2nnc(C)n2c3ccc(C)cc3)cc1,1,1,[0 0 0 ... 0 0 0]
1997,1997,CHEMBL2086678,3.8,COc1cnccc1COc2cnc(nc2)N3CCN(CC3)C(=O)OC(C)(C)C,1,1,[0 0 0 ... 0 0 0]
2674,2674,CHEMBL178397,3.8,CC1=NC(=C(NC1=O)c2ccccc2)c3ccc(CN4CCC(CC4)N5C(=O)Nc6ccccc56)cc3,1,1,[0 0 0 ... 0 1 0]
2771,2771,CHEMBL280916,0.84,CC(C)C(NC(=O)CN1C(=O)C(=CC=C1c2ccccc2)NC(=O)OCc3ccc(cc3)C(=O)O)C(=O)C(F)(F)F,1,1,[0 1 0 ... 0 0 0]
564,564,CHEMBL439871,3.18,CC(C)CN1C(=O)N(C)C(=O)c2c1sc(Cc3ccccc3C(F)(F)F)c2C(=O)N4CC(C)(O)C4,1,1,[0 1 0 ... 0 0 0]
3556,3556,CHEMBL294286,3.2,CCn1c2ccccc2c3cc(NC(=O)CN(C)C)ccc13,1,1,[0 0 0 ... 0 0 0]
44,44,CHEMBL1778635,-0.16,OC(=O)COc1ccc(cc1c2cc(ccc2F)C#N)C(F)(F)F,1,1,[0 0 0 ... 0 0 0]
3131,3131,CHEMBL2031237,2.11,CN1CCN(CC1)c2ccc3N=CN(C(=O)c3c2)c4cc(NC(=O)c5cncs5)ccc4C,1,1,[0 0 0 ... 0 0 0]
1861,1861,CHEMBL1934418,1.29,C[C@H](NC(=O)c1c(C)nn(C2CCSCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,1,1,[0 1 0 ... 0 0 0]
2828,2828,CHEMBL2010842,2.85,CN(C1CCN(Cc2nc3cc(F)ccc3s2)CC1)C(=O)Cc4ccc(cc4)n5cnnn5,1,1,[0 0 0 ... 0 0 0]
3370,3370,CHEMBL1272,2.31,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N3CCCCC3)ccc1C(=O)O,1,1,[0 1 1 ... 0 0 0]
3955,3955,CHEMBL2035038,1.5,NC1(CCC1)c2ccc(cc2)C3=Nc4ccccc4C(=O)N3c5ccccc5,1,1,[0 0 0 ... 0 0 0]
806,806,CHEMBL1779014,3.76,COc1cc(F)ccc1c2cncc(CNC(=O)c3ccccc3)c2,1,1,[0 0 0 ... 0 0 0]
3326,3326,CHEMBL470916,2.25,Nc1c(nc(nc1N2CCOCC2)C#N)N3CCCC3,1,1,[0 0 0 ... 0 0 0]
3711,3711,CHEMBL235753,2.5,CN1C(=O)C=C(CCc2cccc(c2)c3cccnc3)N=C1N,1,1,[0 0 0 ... 0 0 0]
3717,3717,CHEMBL1783271,3.47,COc1ccc(OC)c(c1)c2c(F)ccc3c(N)c(nnc23)C(=O)NC4CC4,1,1,[0 0 0 ... 0 0 0]
2949,2949,CHEMBL322318,2.35,Oc1ccc(CCNCCS(=O)(=O)CCCOCCc2nccc3ccccc23)c4sc(O)nc14,1,1,[0 0 0 ... 0 0 0]
1137,1137,CHEMBL254129,2.63,C[C@@H]1CN[C@@H]2[C@@H](C1)O[C@]3(CC[C@H]4[C@@H]5CC=C6C[C@@H](O)CC[C@]6(C)[C@H]5CC4=C3C)[C@@H]2C,1,1,[0 0 0 ... 0 0 0]
