,Unnamed: 0,CMPD_CHEMBLID,exp,smiles,drug_like,fp,cluster
3638,3638,CHEMBL130902,3.5,COc1c(cc2ccccc2c1C(=O)N(C)C[C@@H](CCN3CCC(CC3)c4ccc(O)cc4[S+](C)[O-])c5ccc(Cl)c(Cl)c5)C#N,1,[0 1 0 ... 0 0 0],10
3643,3643,CHEMBL31354,3.0,COc1ccccc1N2CCN(CCN(C(=O)C3CCCCC3)c4ccccn4)CC2,1,[0 0 1 ... 0 0 0],10
3644,3644,CHEMBL223402,4.0,Fc1ccccc1NC(=O)N[C@H]2N=C(c3ccccc3)c4ccccc4NC2=O,1,[0 0 0 ... 0 0 0],10
3652,3652,CHEMBL650,2.12,C[C@H]1C[C@H]2[C@@H]3CC[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)C=CC(=O)C=C14,1,[0 0 0 ... 0 0 0],10
3655,3655,CHEMBL202626,3.8,Fc1ccccc1NC(=O)NC2N=C(c3ccccc3)c4ccccc4NC2=O,1,[0 0 0 ... 0 0 0],10
3661,3661,CHEMBL424451,3.96,COc1ccc(C)c(NC(=O)CC23CC4CC(CC(C4)C2)C3)c1,1,[0 0 0 ... 0 0 0],10
3675,3675,CHEMBL103482,0.9,CCOC(=O)c1cnc2c(N)cccc2c1O,1,[0 0 0 ... 0 0 0],10
3684,3684,CHEMBL363160,3.31,CCc1cccc(CC)c1NC(=O)N2Cc3[nH]nc(NC(=O)c4ccc(cc4)N5CCN(C)CC5)c3C2,1,[0 0 0 ... 0 0 0],10
3686,3686,CHEMBL586058,2.7,[O-][N+](=O)c1cc(C(=O)NCC=C)c2N=C(Nc3ccc(Cl)c(Cl)c3)NC(=O)c2c1,1,[0 0 0 ... 0 0 0],10
3688,3688,CHEMBL1823817,1.46,COC[C@H](O)CN1C(=O)C=NN(C1=O)c2ccc(Cl)c(c2)C(=O)NCC3(O)CCCCCC3,1,[0 1 1 ... 0 0 0],10
3689,3689,CHEMBL336546,1.8,FC(F)(F)c1cc(NC(=O)c2cnc(Cl)nc2C(F)(F)F)cc(c1)C(F)(F)F,1,[0 0 0 ... 0 0 0],10
3690,3690,CHEMBL1201391,1.55,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@@H]12,1,[0 1 0 ... 0 0 0],10
3692,3692,CHEMBL81,4.13,Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,1,[0 0 1 ... 0 0 0],10
3701,3701,CHEMBL551060,2.0,Cc1nc(C)c(s1)C(=O)N[C@@H](Cc2cccc(Cl)c2)C(=O)NCC#N,1,[0 1 0 ... 0 0 0],10
3706,3706,CHEMBL38576,3.42,CN([C@H](CN1CCCC1)c2ccccc2)C(=O)Cc3ccc(Cl)c(Cl)c3,1,[0 1 0 ... 0 0 0],10
3707,3707,CHEMBL118973,3.8,Cn1c2ccccc2c3cc(NC(=O)CCc4ccncc4)ccc13,1,[0 0 0 ... 0 0 0],10
3709,3709,CHEMBL1164729,0.94,CC(C)COc1ccc(cc1C#N)c2nc(C)c(s2)C(=O)O,1,[0 1 0 ... 0 0 0],10
3713,3713,CHEMBL335749,3.02,CC(=O)NC[C@H]1CN(C(=O)O1)c2ccc(N3Cc4ccncc4C3)c(F)c2,1,[0 0 0 ... 0 0 0],10
3725,3725,CHEMBL124842,1.93,CCCCCCCN(CCc1ccc(OC(C)(C)C(=O)O)cc1)C(=O)Nc2ccc(F)cc2F,1,[0 0 0 ... 0 0 0],10
3726,3726,CHEMBL1963131,1.72,COc1ccc(cn1)[C@@]2(O)CC[C@H](CC2)N3CC[C@H](C3)NC(=O)CNC(=O)c4cccc(c4)C(F)(F)F,1,[0 0 0 ... 0 1 0],10
3732,3732,CHEMBL352576,2.5,CC(=O)NCc1ccc(CN2CCN(CC2)c3ccc(F)cc3F)cc1,1,[0 0 0 ... 0 0 0],10
3741,3741,CHEMBL87266,1.35,Cc1cc(N)c2cc(NC(=O)CC(=O)Nc3ccc4nc(C)cc(N)c4c3)ccc2n1,1,[0 0 0 ... 0 0 0],10
3742,3742,CHEMBL429023,3.57,COc1cc2OC[C@H]3Oc4c5C[C@@H](Oc5ccc4C(=O)[C@H]3c2cc1OC)C(=C)C,1,[0 0 0 ... 0 1 0],10
3744,3744,CHEMBL402146,3.31,Fc1ccc(cc1F)C(=O)Nc2ccc(Cl)nc2,1,[0 0 0 ... 0 0 0],10
3750,3750,CHEMBL2023483,3.78,COc1ccc2c(Oc3ccc(CC(=O)Nc4n[nH]c(C)c4C)c(OC)c3)ccnc2c1,1,[0 0 0 ... 0 0 0],10
3756,3756,CHEMBL14638,2.68,O=C(C1CC1)c2ccc(OCCCc3c[nH]cn3)cc2,1,[0 0 0 ... 0 0 0],10
3766,3766,CHEMBL563471,2.6,Cn1cc(cn1)c2cccc(C[C@H](NC(=O)c3cc(nn3C)C(C)(C)C)C(=O)NCC#N)c2,1,[0 1 0 ... 0 0 0],10
3769,3769,CHEMBL105984,2.27,CCC[C@@H](CN1CCCC1)N(C)C(=O)Cc2ccc(Cl)c(Cl)c2,1,[0 1 0 ... 0 0 0],10
3771,3771,CHEMBL129420,0.7,CCN(CC)C(=O)c1ccc(cc1)C(N2CCNCC2)c3cccc4cccnc34,1,[0 1 0 ... 0 0 0],10
3779,3779,CHEMBL5,-0.1,CCN1C=C(C(=O)O)C(=O)c2ccc(C)nc12,1,[0 0 0 ... 0 0 0],10
3781,3781,CHEMBL1479580,2.93,CSc1ncccc1C(=O)NCC2CCCCC2,1,[0 0 1 ... 0 0 0],10
3782,3782,CHEMBL1088752,3.5,Cc1c(F)cc(cc1c2ccc(cn2)C(=O)NCC(C)(C)C)C(=O)NC3CC3,1,[0 1 0 ... 0 0 0],10
3786,3786,CHEMBL1621884,1.55,COCCCCC(=NOCCN)c1ccc(cc1)C(F)(F)F,1,[0 0 0 ... 0 0 0],10
3800,3800,CHEMBL1378202,2.2,CNC(=O)c1[nH]cnc1C(=O)Nc2ccc(OC)cc2,1,[0 0 0 ... 0 0 0],10
3801,3801,CHEMBL1923430,2.64,Cc1ccc([nH]1)C(=O)NC2CCN(CC2)c3cc(cc(Cl)n3)C(=O)N,1,[0 0 0 ... 0 0 0],10
3802,3802,CHEMBL193,3.29,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C,1,[1 0 0 ... 0 0 0],10
3811,3811,CHEMBL1201256,0.74,COc1cc(cc(OC)c1OC)C(=O)NCc2ccc(OCCN(C)C)cc2,1,[0 0 0 ... 0 0 0],10
3813,3813,CHEMBL2177777,3.4,CC(C)OC(=O)N1CCC(CC1)Oc2ncnc3N(CCc23)c4ccc(cc4F)S(=O)(=O)C,1,[0 1 0 ... 0 0 0],10
3824,3824,CHEMBL1027,1.49,Cc1ccsc1C(=CCCN2CCC[C@H](C2)C(=O)O)c3sccc3C,1,[0 0 0 ... 1 0 0],10
3825,3825,CHEMBL406,1.83,CC1Cc2ccccc2N1NC(=O)c3ccc(Cl)c(c3)S(=O)(=O)N,1,[0 0 0 ... 0 0 0],10
3835,3835,CHEMBL255044,2.22,CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)nc1N,1,[0 0 0 ... 0 0 0],10
3840,3840,CHEMBL1726,3.59,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OCC(C)C)C,1,[1 1 0 ... 0 0 0],10
3856,3856,CHEMBL1231683,1.24,CC(C)Nc1ccc2cnn(c3cncc(n3)n4ccc(CC(=O)O)c4)c2c1,1,[0 1 0 ... 0 0 0],10
3860,3860,CHEMBL93404,2.7,COC(=O)c1c(C)[nH]c(C)c1C(=O)c2ccccc2Cl,1,[0 0 0 ... 0 0 0],10
3885,3885,CHEMBL559478,1.58,Brc1ccc(OC(=O)N2CCN3CCC2CC3)cc1,1,[0 0 0 ... 0 0 0],10
3899,3899,CHEMBL2144138,0.4,NC(=O)C1CCN(CC(=O)Nc2ccc3OCOc3c2)CC1,1,[0 0 0 ... 0 0 0],10
3901,3901,CHEMBL1240967,1.91,CC(C)(Cc1cccc(CC(=O)NCc2cccc(c2)c3ccc(O)cc3)c1)NC[C@H](O)c4ccc(O)c(NS(=O)(=O)C)c4,1,[0 1 0 ... 0 0 0],10
3903,3903,CHEMBL2171278,3.8,Cc1ccc(NC(=O)[C@@H]2CCCN2S(=O)(=O)c3cccc4cccnc34)c(C)c1,1,[0 0 0 ... 0 0 0],10
3904,3904,CHEMBL555033,3.29,OCCCNc1ccc2c(NC(=O)CC3CCCCC3)c(Cl)ccc2n1,1,[0 0 1 ... 0 0 0],10
3911,3911,CHEMBL290548,1.88,COC(=O)N1CCN(C(CC(=O)NCc2ccc3OCOc3c2)C1)c4ccnc(n4)n5ccnc5,1,[0 0 0 ... 0 0 0],10
3913,3913,CHEMBL87543,2.3,CC(C)N1CCC(CC1)N(C(=O)Cc2ccccc2)c3ccc(Cl)cc3,1,[0 1 0 ... 0 0 0],10
3915,3915,CHEMBL130936,1.79,OC(=O)c1cc2cc(ccc2n1Cc3ccc(Cl)c(Cl)c3)[N+](=O)[O-],1,[0 0 0 ... 0 0 0],10
3921,3921,CHEMBL450470,2.81,COc1ccc(N(C(C(=O)NC2CCCC2)c3ccccc3F)C(=O)C)c(OC)c1,1,[0 1 0 ... 0 0 0],10
3926,3926,CHEMBL317935,3.24,C[C@H](NC(=O)\C=C\c1ccccc1)c2cccc(c2)N3CCOCC3,1,[0 1 0 ... 0 0 0],10
3945,3945,CHEMBL1612837,-0.1,CC(C)(C)c1ccc(cc1)C2=NC(=O)C(CC(=O)O)S2,1,[0 0 0 ... 0 0 0],10
3948,3948,CHEMBL2023489,3.5,COc1ccc2c(Oc3ccc(CC(=O)Nc4cn(C)nc4C)c(OC)c3)ccnc2c1,1,[0 0 0 ... 0 0 0],10
3949,3949,CHEMBL203059,3.7,O=C(Nc1cc(ccn1)c2ccnc(Nc3ccccc3)c2)C4CCOCC4,1,[0 0 0 ... 0 0 0],10
3957,3957,CHEMBL2332936,2.1,CC(=O)Nc1ccc(O)cc1OC[C@@H](O)CN2CCC3(CC2)Cc4cc(F)ccc4O3,1,[0 1 0 ... 0 0 0],10
3962,3962,CHEMBL2177173,3.28,CN1CCN(CC1)S(=O)(=O)c2ccc(cc2)c3cnc(N)c(n3)C(=O)Nc4cnccc4CN5CCCC5,1,[0 0 0 ... 0 0 0],10
3964,3964,CHEMBL517712,-0.66,CN1[C@@H]2CC[C@H]1C[C@H](C2)OC(=O)C(CO)c3ccccc3,0,[0 1 0 ... 0 0 0],10
3971,3971,CHEMBL9751,-0.09,CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3,1,[0 1 0 ... 0 0 0],10
3981,3981,CHEMBL1682834,2.8,CC(=O)N1CCOc2cc(COc3ccccc3)cnc12,1,[0 0 0 ... 0 0 0],10
3990,3990,CHEMBL2018953,2.27,Clc1ccc(CNc2nc(nc3ncccc23)N4CCN(CC4)C(=O)[C@H]5CCCCN5)c(Cl)c1,1,[0 0 0 ... 0 0 0],10
3995,3995,CHEMBL371064,1.33,CCCN1CCN(CC1)c2ccc(cc2)C(=O)NC3(CCCCC3)C(=O)NCC#N,1,[0 0 1 ... 0 0 0],10
3996,3996,CHEMBL1178725,1.23,CC(C)Oc1cccc(CC(=O)N2CCC[C@@](CC[N+]34CCC(CC3)(CC4)c5ccccc5)(C2)c6ccc(Cl)c(Cl)c6)c1,1,[0 1 0 ... 0 0 0],10
3998,3998,CHEMBL98760,2.78,CC(C)NC(=O)c1ccc2c(Nc3ccc(Cl)cc3)nc(nc2c1)N4CCOCC4,1,[0 1 0 ... 0 0 0],10
4004,4004,CHEMBL1351893,3.89,CCCc1c(cnn1c2ccccc2)C(=O)Nc3ccc(F)cc3C,1,[0 0 1 ... 0 0 0],10
4016,4016,CHEMBL2059198,-0.62,CC(C)NC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F,0,[0 1 0 ... 0 0 0],10
4017,4017,CHEMBL1923433,0.02,Cc1[nH]c(C(=O)NC2CCN(CC2)c3ncc(s3)C(=O)O)c(Cl)c1Cl,1,[0 0 0 ... 0 0 0],10
4020,4020,CHEMBL2314383,3.7,CC(C)c1ccc(Sc2cnc(O)c(c2)C(=O)NCc3ccccc3)cc1,1,[0 1 0 ... 0 0 0],10
4025,4025,CHEMBL185658,2.63,CC(=O)Nc1ccc(CNc2[nH]nc3cccc(Oc4ccc(cc4)S(=O)(=O)C)c23)cc1,1,[0 0 0 ... 0 0 0],10
4028,4028,CHEMBL192943,0.56,CC(C)Cc1ccc(cc1)[C@H](C)C(=O)NS(=O)(=O)C,1,[0 1 0 ... 0 0 0],10
4033,4033,CHEMBL2059197,-0.79,CCCNC(=O)c1cc2c(c(cnc2[nH]1)c3cncc(c3)C(=O)O)n4ccc(n4)C(F)(F)F,0,[0 0 0 ... 0 0 0],10
4037,4037,CHEMBL1682829,3.3,CN1CCOc2cc(OC(=O)c3ccccc3)cnc12,1,[0 0 0 ... 0 0 0],10
4043,4043,CHEMBL1201753,0.91,O[C@H](C[C@H](O)\C=C\c1c(nc2ccccc2c1c3ccc(F)cc3)C4CC4)CC(=O)O,1,[0 1 0 ... 0 0 0],10
4058,4058,CHEMBL1356763,2.2,Cc1nc2nc(NC(=O)c3ccc(F)cc3)nn2c(O)c1Cc4ccccc4,1,[0 0 0 ... 0 0 0],10
4059,4059,CHEMBL841,3.47,CN(C)C(=O)C(CCN1CCC(O)(CC1)c2ccc(Cl)cc2)(c3ccccc3)c4ccccc4,1,[0 0 0 ... 0 1 0],10
4061,4061,CHEMBL64,-0.57,NNC(=O)c1ccncc1,0,[0 0 0 ... 0 0 0],10
4067,4067,CHEMBL1835907,3.54,CCOC(=O)c1ccc(OCCC2(CCN(CC2)c3ccc(C)nn3)C#N)cc1,1,[0 0 0 ... 0 0 0],10
4068,4068,CHEMBL1201173,3.25,C[C@H]1C[C@H]2[C@@H]3CC[C@H](C(=O)C)[C@@]3(C)C[C@H](O)[C@@H]2[C@@]4(C)CCC(=O)C=C14,1,[0 0 0 ... 0 0 0],10
4073,4073,CHEMBL1184268,1.7,Cc1cc(C)cc(c1)c2c(O)nc3cc(Cl)c(cc3c2OCCC4CCCCN4)C(=O)Nc5ccncn5,1,[0 0 0 ... 0 0 0],10
4079,4079,CHEMBL146095,3.5,OCC(O)COC(=O)c1ccccc1Nc2ccnc3cc(Cl)ccc23,1,[0 1 0 ... 0 0 0],10
4080,4080,CHEMBL511444,1.94,CN[C@@H](C)C(=O)N[C@H](C(=O)N1CC[C@H]2CC[C@H](NC(=O)c3cccc4ccccc34)[C@@H]12)C(C)(C)C,1,[0 1 0 ... 0 0 1],10
4088,4088,CHEMBL2059379,2.32,CCNC(=O)c1cc2c(c(cnc2[nH]1)c3cnc(OC)c(c3)C4=NNC(=O)O4)n5ccc(n5)C(F)(F)F,1,[0 0 0 ... 0 0 0],10
4090,4090,CHEMBL562847,2.89,CCCCC(NC(=O)CC1CCN(Cc2ccn(c2)c3ccc(cc3)C(F)(F)F)CC1)C4=CNC(=O)C=C4,1,[0 1 0 ... 0 0 0],10
4093,4093,CHEMBL1222381,2.54,O=C(NC1CC1)c2cc(on2)c3cccs3,1,[0 0 0 ... 0 0 0],10
4094,4094,CHEMBL1399574,2.1,CCOc1ccc(NC(=O)CCc2c(C)nc3nc(C)nn3c2C)cc1,1,[0 0 0 ... 0 0 0],10
4130,4130,CHEMBL142703,-0.48,OC12CC3CC(C1)CC(C3)(C2)NCC(=O)N4CCC[C@H]4C#N,0,[0 0 0 ... 0 0 0],10
4132,4132,CHEMBL685,2.9,COC(=O)Nc1nc2ccc(cc2[nH]1)C(=O)c3ccccc3,1,[0 0 0 ... 0 0 0],10
4139,4139,CHEMBL1934123,2.96,CC(=O)N[C@@H]1CC2(CCN(Cc3ccc4[nH]c5ccccc5c4c3)CC2)c6ccccc16,1,[0 0 0 ... 0 0 0],10
4140,4140,CHEMBL512607,0.58,CC(C)(C)C(=O)N[C@H]1CCCCNC1=O,1,[0 0 0 ... 0 0 0],10
4151,4151,CHEMBL560241,3.41,Cc1cc(n[nH]1)c2ccc(Cl)c(c2)C(=O)NCC3(O)CCCCCC3,1,[0 0 1 ... 0 0 0],10
4153,4153,CHEMBL1609717,3.1,Fc1ccc(CNC(=O)CCS(=O)(=O)c2ccc(Br)cc2)cc1,1,[0 0 0 ... 0 0 0],10
4167,4167,CHEMBL32066,1.68,CNC(=O)c1cccc(c1c2ccc(CC(C)C)cc2)S(=O)(=O)Nc3ncc(C)nc3OC,1,[0 1 0 ... 0 0 0],10
4177,4177,CHEMBL1605804,0.31,Cc1ccnc2nc(nn12)C(=O)Nc3nccs3,1,[0 0 0 ... 0 0 0],10
4179,4179,CHEMBL472524,2.34,CCNC(=O)Nc1nc2cc(ccc2[nH]1)c3cccnc3,1,[0 0 0 ... 0 0 0],10
4180,4180,CHEMBL1477036,2.93,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)O,1,[0 1 0 ... 0 0 0],10
4181,4181,CHEMBL315157,3.04,CN1CCCC1CCOC(C)(c2ccccc2)c3ccc(Cl)cc3,1,[0 0 0 ... 0 0 0],10
4187,4187,CHEMBL134908,2.41,CN1CCC[C@@H]([C@H]1C(=O)Nc2ccc(OCc3cc(C)nc4ccccc34)cc2)C(=O)NO,1,[0 0 0 ... 0 0 0],10
4188,4188,CHEMBL36643,2.43,COC(=O)COc1ccc(cn1)C(=O)Nc2ccc(F)cc2,1,[0 0 0 ... 0 0 0],10
4191,4191,CHEMBL1835910,3.1,CCOC(=O)c1ccc(OCC2CN(C2)c3ccc(C)nn3)cc1,1,[0 0 0 ... 0 0 0],10
4194,4194,CHEMBL1081772,3.68,CC1CC(N(C(=O)C)c2ccccc2)c3ccccc3N1S(=O)(=O)c4ccccc4,1,[0 0 0 ... 0 0 0],10
4195,4195,CHEMBL496929,3.85,OCCc1ccc(NC(=O)c2cc3cc(Cl)ccc3[nH]2)cc1,1,[0 0 0 ... 0 0 0],10
4198,4198,CHEMBL558748,2.65,Clc1ccc2ncccc2c1C(=O)NCC3CCCCC3,1,[0 0 1 ... 0 0 0],10
125,125,CHEMBL598194,2.88,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NCc4ccc(Cl)cc4,1,[0 0 1 ... 0 0 0],26
317,317,CHEMBL2325735,2.1,CS(=O)(=O)NCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,1,[0 1 1 ... 0 0 0],26
322,322,CHEMBL2325983,3.4,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(C4CC4)c5ccc(Cl)cc5,1,[0 1 1 ... 0 0 0],26
657,657,CHEMBL2325736,2.2,CS(=O)(=O)NCCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,1,[0 1 1 ... 0 0 0],26
769,769,CHEMBL2325991,1.8,COc1ccc(cc1OC)C(C)NC(=O)C2(N)CCN(CC2)c3ncnc4[nH]ccc34,1,[0 1 1 ... 0 0 0],26
834,834,CHEMBL2325732,2.4,CC(=O)NCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,1,[0 1 1 ... 0 0 0],26
934,934,CHEMBL2325987,2.4,CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(F)cc4,1,[0 1 1 ... 0 0 0],26
1636,1636,CHEMBL2325742,3.3,C[C@@H](NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,1,[0 1 1 ... 0 0 0],26
1676,1676,CHEMBL2325997,2.7,CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,1,[0 1 1 ... 0 0 0],26
1768,1768,CHEMBL263664,2.72,NC1(Cc2ccc(Cl)cc2)CCN(CC1)c3ncnc4[nH]ccc34,1,[0 0 1 ... 0 0 0],26
1987,1987,CHEMBL2325743,2.67,C[C@H](NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,1,[0 1 1 ... 0 0 0],26
2032,2032,CHEMBL2325988,1.2,CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4cccnc4,1,[0 1 1 ... 0 0 0],26
2060,2060,CHEMBL2325731,2.4,CN(C)C(=O)CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,1,[0 1 1 ... 0 0 0],26
2226,2226,CHEMBL2325994,1.3,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCN4CCCC4)c5ccc(Cl)cc5,1,[0 1 1 ... 0 0 0],26
2752,2752,CHEMBL2325986,2.17,CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccccc4,1,[0 1 1 ... 0 0 0],26
2809,2809,CHEMBL597803,2.8,CN(Cc1ccc(Cl)cc1)C(=O)C2(N)CCN(CC2)c3ncnc4[nH]ccc34,1,[0 0 1 ... 0 0 0],26
3136,3136,CHEMBL2325733,2.2,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CS(=O)(=O)N)c4ccc(Cl)cc4,1,[0 1 1 ... 0 0 0],26
3374,3374,CHEMBL2325738,2.5,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCO)c4ccc(Cl)cc4,1,[0 1 1 ... 0 0 0],26
3476,3476,CHEMBL2325984,4.1,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(c4ccccc4)c5ccc(Cl)cc5,1,[0 1 1 ... 1 0 0],26
3496,3496,CHEMBL2325985,4.1,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(Cc4ccccc4)c5ccc(Cl)cc5,1,[0 1 1 ... 0 0 0],26
3505,3505,CHEMBL2325990,1.0,CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(cc4)S(=O)(=O)C,1,[0 1 1 ... 0 0 0],26
3727,3727,CHEMBL2325729,2.4,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)N[C@@H](CCN4CCCCC4)c5ccc(Cl)cc5,1,[0 1 1 ... 0 0 0],26
3748,3748,CHEMBL2325993,1.4,CN(C)CCCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,1,[0 1 1 ... 0 0 0],26
3837,3837,CHEMBL2325989,1.3,CC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccccn4,1,[0 1 1 ... 0 0 0],26
3898,3898,CHEMBL2325730,2.2,NC(=O)C(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,1,[0 1 1 ... 0 0 0],26
4000,4000,CHEMBL2325995,2.7,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CCCN4CCOCC4)c5ccc(Cl)cc5,1,[0 1 1 ... 0 0 0],26
4029,4029,CHEMBL2325740,2.95,COCCC(NC(=O)C1(N)CCN(CC1)c2ncnc3[nH]ccc23)c4ccc(Cl)cc4,1,[0 1 1 ... 0 0 0],26
4166,4166,CHEMBL2325737,2.4,NC1(CCN(CC1)c2ncnc3[nH]ccc23)C(=O)NC(CO)c4ccc(Cl)cc4,1,[0 1 1 ... 0 0 0],26
54,54,CHEMBL1934414,2.0,C[C@H](NC(=O)c1c(C)nn(C2CCCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,1,[0 1 0 ... 0 0 0],27
249,249,CHEMBL1934423,0.78,C[C@H](NC(=O)c1c(C)nn(C2CCOC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,1,[0 1 0 ... 0 0 0],27
447,447,CHEMBL1934268,0.95,CCn1nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1NS(=O)(=O)c2ccc(C)cc2,1,[0 1 0 ... 0 0 0],27
606,606,CHEMBL1934270,1.84,C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(C)cc2)C(C)(C)C)C(C)(C)C,1,[0 1 0 ... 0 0 0],27
812,812,CHEMBL1934420,0.8,C[C@H](NC(=O)c1c(C)nn(C2CCN(C)CC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,1,[0 1 0 ... 0 0 0],27
864,864,CHEMBL1916283,1.2,C[C@@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3)C(C)(C)C,1,[0 1 0 ... 0 0 0],27
937,937,CHEMBL1916281,1.21,CC(NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3)C(C)(C)C,1,[0 1 0 ... 0 0 0],27
1176,1176,CHEMBL1934271,1.88,CCC(CC)n1nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1NS(=O)(=O)c2ccc(C)cc2,1,[0 1 0 ... 0 0 0],27
1255,1255,CHEMBL1916288,0.45,C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(cc2)C#N)c3ccc(F)cc3)C(C)(C)C,1,[0 1 0 ... 0 0 0],27
1312,1312,CHEMBL1934413,1.57,C[C@H](NC(=O)c1c(C)nn(C2CCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,1,[0 1 0 ... 0 0 0],27
1457,1457,CHEMBL1916284,2.35,C[C@H](NC(=O)c1c(NS(=O)(=O)c2ccc(C)cc2)n(nc1C(F)(F)F)c3ccccc3)C(C)(C)C,1,[0 1 0 ... 0 0 0],27
1501,1501,CHEMBL1934417,0.78,COCCC(C)n1nc(C)c(C(=O)N[C@@H](C)C(C)(C)C)c1NS(=O)(=O)c2ccc(C)cc2,1,[0 1 0 ... 0 0 0],27
1711,1711,CHEMBL1916282,1.44,C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2ccc(C)cc2)c3ccccc3)C(C)(C)C,1,[0 1 0 ... 0 0 0],27
1717,1717,CHEMBL1934269,0.93,C[C@H](NC(=O)c1c(C)nn(CC(F)(F)F)c1NS(=O)(=O)c2ccc(C)cc2)C(C)(C)C,1,[0 1 0 ... 0 0 0],27
1781,1781,CHEMBL1916285,0.29,C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)c2cccc(CN3CCOCC3)c2)c4ccccc4)C(C)(C)C,1,[0 1 0 ... 0 0 0],27
1861,1861,CHEMBL1934418,1.29,C[C@H](NC(=O)c1c(C)nn(C2CCSCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,1,[0 1 0 ... 0 0 0],27
1895,1895,CHEMBL1934421,1.08,C[C@H](NC(=O)c1c(C)nn(C2CCN(CC(F)(F)F)CC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,1,[0 1 0 ... 0 0 0],27
2027,2027,CHEMBL1934422,0.5,C[C@H](NC(=O)c1c(C)nn(C2CCOCC2)c1NS(=O)(=O)c3ccc(C)cc3)C(C)(C)C,1,[0 1 0 ... 0 0 0],27
2090,2090,CHEMBL1916286,1.75,C[C@H](NC(=O)c1c(C)nn(c1NS(=O)(=O)C2CCCCC2)c3ccccc3)C(C)(C)C,1,[0 1 1 ... 0 0 0],27
