,Unnamed: 0,NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles,target_actual,fp,cluster
97,97,0.0,,1.0,,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,TOX18317,Oc1nc(Cl)c(Cl)cc1Cl,1.0,[0 0 0 ... 0 0 0],55
105,105,0.0,0.0,0.0,,,,,1.0,,0.0,,,TOX12372,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,0.0,[1 0 0 ... 0 0 0],55
130,130,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX4280,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,1.0,[1 0 0 ... 0 0 0],55
139,139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TOX175,Clc1cnc(Oc2ccc(Oc3ncc(Cl)cc3Cl)cc2)c(Cl)c1,0.0,[0 0 0 ... 0 0 0],55
151,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,TOX25005,ClCc1ccc(Cl)cc1Cl,0.0,[0 0 0 ... 0 0 0],55
178,178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX10307,Nc1cc(Cl)cc(Cl)c1,0.0,[0 0 0 ... 0 0 0],55
187,187,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX7241,ClCc1ccccc1Cl,0.0,[0 0 0 ... 0 0 0],55
267,267,0.0,,1.0,,,,,0.0,0.0,,,1.0,TOX29086,Clc1ccc2cc3ccccc3cc2c1,1.0,[0 0 0 ... 0 0 0],55
296,296,0.0,,1.0,,,,0.0,,1.0,1.0,1.0,1.0,TOX2801,Oc1c(Cl)cc(Cl)c2cccnc12,1.0,[0 0 0 ... 1 0 0],55
318,318,0.0,,0.0,0.0,,,,0.0,0.0,,1.0,,TOX25889,CC(C)(C)CC(C)(C)c1ccc(O)c(Cc2ccc(Cl)cc2Cl)c1,0.0,[0 0 0 ... 0 0 0],55
379,379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TOX12316,Cc1cc(O)cc(C)c1Cl,0.0,[0 0 0 ... 0 0 0],55
387,387,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,TOX154,Oc1ccc(Cl)cc1Cc1ccccc1,0.0,[0 0 0 ... 0 0 0],55
409,409,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,TOX26267,CN1C(=S)CN=C(c2ccccc2)c2cc(Cl)ccc21,0.0,[0 0 0 ... 0 0 0],55
468,468,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX1860,O=Cc1ccc(Cl)cc1,0.0,[0 0 0 ... 0 0 0],55
588,588,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,TOX2922,NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,0.0,[0 0 0 ... 0 0 0],55
617,617,0.0,1.0,0.0,,,,1.0,0.0,1.0,0.0,1.0,,TOX28924,Cc1ccc2c(Cl)cc(Cl)c(O)c2n1,0.0,[0 0 0 ... 1 0 0],55
666,666,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,,,0.0,TOX5840,Clc1ccc(C(Cl)(Cl)Cl)cc1Cl,1.0,[0 0 0 ... 0 0 0],55
673,673,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX29380,Nc1nc(Cl)cc(Cl)n1,1.0,[0 0 0 ... 0 0 0],55
705,705,0.0,0.0,1.0,,0.0,0.0,0.0,,0.0,,0.0,1.0,TOX26249,CN1C(=O)CN2CCc3ccccc3C2c2cc(Cl)ccc21,1.0,[0 0 0 ... 0 0 0],55
766,766,0.0,,0.0,,,0.0,0.0,0.0,,1.0,1.0,1.0,TOX6137,Oc1ccc(Cl)cc1Sc1cc(Cl)ccc1O,0.0,[0 1 0 ... 0 0 0],55
778,778,0.0,0.0,0.0,,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,TOX17515,CNP(=O)(OC)Oc1ccc(C(C)(C)C)cc1Cl,0.0,[0 0 0 ... 0 0 0],55
798,798,0.0,,1.0,,0.0,0.0,,1.0,1.0,0.0,,,TOX12600,O=C(O)C1(C(=O)Nc2ccc(Cl)cc2Cl)CC1,1.0,[0 0 0 ... 0 0 0],55
802,802,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,TOX3883,Clc1cccc(-c2cc(Cl)cc(Cl)c2)c1,0.0,[0 0 0 ... 0 0 0],55
814,814,0.0,0.0,0.0,,,0.0,0.0,,0.0,1.0,1.0,1.0,TOX1824,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,0.0,[0 0 0 ... 0 0 0],55
825,825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX7506,O=C(Cl)c1cc(Cl)cc(Cl)c1,0.0,[0 0 0 ... 0 0 0],55
935,935,0.0,0.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,TOX447,O=S(=O)(Oc1ccc(Cl)cc1Cl)c1ccccc1,1.0,[0 0 0 ... 0 0 0],55
976,976,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,,1.0,TOX26225,O=S(c1cc(Cl)cc(Cl)c1O)c1cc(Cl)cc(Cl)c1O,0.0,[0 0 0 ... 0 0 0],55
1053,1053,0.0,0.0,1.0,0.0,,0.0,,1.0,0.0,0.0,1.0,,TOX6208,Oc1cc(Cl)cc(Cl)c1Cl,1.0,[0 0 0 ... 0 0 0],55
1054,1054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,TOX6209,Oc1c(Cl)ccc(Cl)c1Cl,0.0,[0 0 0 ... 0 0 0],55
1158,1158,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,TOX28962,CN(C)CC[C@@H](c1ccc(Cl)cc1)c1ccccn1,0.0,[0 1 0 ... 0 0 0],55
1165,1165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX24998,FC(F)(F)C(=NOCC1OCCO1)c1ccc(Cl)cc1,0.0,[0 0 0 ... 0 0 0],55
1187,1187,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24196,Clc1ccc2c(c1)CCc1cccnc1C2=C1CCNCC1,0.0,[0 0 0 ... 0 0 0],55
1266,1266,0.0,0.0,0.0,,,0.0,0.0,1.0,0.0,0.0,,,TOX14609,N#Cc1nn(-c2c(Cl)cc(C(F)(F)F)cc2Cl)c(N)c1S(=O)C(F)(F)F,0.0,[0 1 0 ... 0 0 0],55
1269,1269,0.0,,1.0,1.0,,0.0,,,,0.0,,,TOX14956,FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,1.0,[1 1 0 ... 0 0 0],55
1271,1271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX26208,O=C1N=C2SCCN2C(=O)C1Cc1ccc(Cl)cc1,0.0,[0 0 0 ... 0 0 0],55
1286,1286,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4315,CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,0.0,[1 0 0 ... 0 0 0],55
1311,1311,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4787,Cc1nc2ccc(Cl)cc2[nH]1,1.0,[0 0 0 ... 0 0 0],55
1356,1356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX4800,Oc1cccc(Cl)c1,0.0,[0 0 0 ... 0 0 0],55
1386,1386,0.0,,0.0,,,,,,0.0,1.0,1.0,1.0,TOX12533,CCOCn1c(-c2ccc(Cl)cc2)c(C#N)c(Br)c1C(F)(F)F,0.0,[0 0 0 ... 0 0 0],55
1409,1409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4814,Cc1ccc(Cl)cc1,0.0,[0 0 0 ... 0 0 0],55
1410,1410,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,1.0,,TOX1770,CC(C)(c1cc(Cl)c(O)c(Cl)c1)c1cc(Cl)c(O)c(Cl)c1,0.0,[0 0 0 ... 0 0 0],55
1479,1479,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,TOX22259,O=S(=O)(c1ccccc1)c1ccc(Cl)cc1,0.0,[0 0 0 ... 0 0 0],55
1496,1496,0.0,0.0,0.0,,,,,0.0,0.0,,1.0,1.0,TOX1270,[O-]c1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1[O-],0.0,[0 1 0 ... 0 0 0],55
1729,1729,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX29069,O=C1c2ccccc2C(=O)c2cc(Cl)ccc21,1.0,[0 1 0 ... 0 0 0],55
1749,1749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX17626,O=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.0,[0 0 0 ... 0 0 0],55
1757,1757,0.0,,1.0,,,0.0,,,0.0,,,1.0,TOX27304,NC(=O)N1C(=O)C(C(=O)c2cc(Cl)cs2)c2cc(F)c(Cl)cc21,1.0,[0 0 0 ... 0 0 0],55
1789,1789,1.0,1.0,0.0,0.0,,0.0,,1.0,0.0,0.0,0.0,,TOX1217,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,0.0,[0 0 0 ... 0 0 0],55
1824,1824,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX27935,FC(F)(F)c1ccc(Cl)cc1Cl,0.0,[0 0 0 ... 0 0 0],55
1878,1878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX420,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,0.0,[0 0 0 ... 0 0 0],55
1879,1879,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,TOX427,Nc1cc(Cl)c(N)c(Cl)c1,1.0,[0 0 0 ... 0 0 0],55
1889,1889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,TOX4359,Oc1cc(Cl)c(Cl)cc1Cl,0.0,[0 0 0 ... 0 0 0],55
2028,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX24811,Cc1cc(Cl)ccc1/N=C/N(C)C,0.0,[0 0 0 ... 0 0 0],55
2060,2060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX26457,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,0.0,[0 0 0 ... 0 0 0],55
2202,2202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX21404,Cc1cc(O)c(Cl)cc1C,0.0,[0 0 0 ... 0 0 0],55
2310,2310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,TOX25360,CN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,0.0,[0 1 0 ... 0 0 0],55
2441,2441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX25464,CCCCN(CCCC)CCC(O)c1cc2c(Cl)cc(Cl)cc2c2cc(C(F)(F)F)ccc12,0.0,[0 1 0 ... 1 0 0],55
2507,2507,0.0,,0.0,,,0.0,0.0,,0.0,,,,TOX26865,Clc1cc(Cl)c(OCC#CI)cc1Cl,0.0,[0 0 0 ... 0 0 0],55
2525,2525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,TOX28865,Clc1ccc([C@@H]2C[C@H]3CC[C@@H]2N3)cn1,0.0,[0 0 0 ... 0 0 0],55
2530,2530,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX1379,Nc1c(Cl)cc(Cl)cc1Cl,0.0,[0 0 0 ... 0 0 0],55
2541,2541,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,,1.0,TOX4473,Nc1cc(Cl)ccc1O,1.0,[0 0 0 ... 0 0 0],55
2546,2546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX4474,Nc1cc(Cl)cc(S(=O)(=O)O)c1O,0.0,[0 0 0 ... 0 0 0],55
2548,2548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX2130,O=Cc1ccc(Cl)cc1Cl,0.0,[0 0 0 ... 0 0 0],55
2557,2557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX24703,N#Cc1ccc(Cl)cc1,0.0,[0 0 0 ... 0 0 0],55
2582,2582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX25072,O=S(=O)(O)c1cc(Cl)c(Cl)cc1Cl,0.0,[0 0 0 ... 0 0 0],55
2644,2644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX21613,Clc1ccc(C2(Cn3cncn3)OCCO2)c(Cl)c1,0.0,[1 0 0 ... 0 0 0],55
2738,2738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1965,Clc1ccc(Cl)c(Cl)c1,0.0,[0 0 0 ... 0 0 0],55
2751,2751,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX3679,Clc1ccc2nsnc2c1NC1=NCCN1,0.0,[0 0 0 ... 0 0 0],55
2774,2774,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,TOX29143,Clc1cc(Cl)nc(Cl)n1,0.0,[0 0 0 ... 0 0 0],55
2781,2781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX29149,Clc1ccnc(Cl)n1,0.0,[0 0 0 ... 0 0 0],55
2924,2924,0.0,0.0,0.0,,,0.0,,,0.0,0.0,1.0,,TOX27295,CN[C@H]1CC[C@@H](c2ccc(Cl)c(Cl)c2)c2ccc(S(N)(=O)=O)cc21,0.0,[0 0 0 ... 0 0 0],55
2952,2952,0.0,,1.0,,,0.0,,,,0.0,1.0,1.0,TOX26104,NC(=O)n1c(O)c(C(=O)c2cccs2)c2cc(Cl)ccc21,1.0,[0 0 0 ... 0 0 0],55
3042,3042,0.0,,0.0,,,0.0,0.0,,0.0,,1.0,,TOX21359,Cc1cc(O)c(Cl)c(C)c1Cl,0.0,[0 0 0 ... 0 0 0],55
3070,3070,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,TOX14885,COP(=S)(OC)Oc1cc(Cl)c(Cl)cc1Cl,1.0,[0 0 0 ... 0 0 0],55
3252,3252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX20234,Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1,0.0,[0 0 0 ... 0 0 0],55
3320,3320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX262,Nc1cc(Cl)cc(C(=O)O)c1Cl,0.0,[0 0 0 ... 0 0 0],55
3356,3356,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,,0.0,TOX1315,Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,1.0,[0 0 0 ... 0 0 0],55
3359,3359,0.0,0.0,0.0,1.0,,0.0,,,0.0,0.0,1.0,1.0,TOX1316,O=S(=O)(c1ccc(Cl)cc1)c1cc(Cl)c(Cl)cc1Cl,0.0,[0 0 0 ... 0 0 0],55
3379,3379,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,TOX28999,Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,1.0,[0 0 0 ... 0 0 0],55
3403,3403,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX12655,CC1(C)CCC(=Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,1.0,[1 0 0 ... 0 0 0],55
3429,3429,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4967,Nc1cc(Cl)ccc1Cl,0.0,[0 0 0 ... 0 0 0],55
3431,3431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX13923,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,0.0,[0 0 0 ... 0 0 0],55
3484,3484,0.0,,0.0,,0.0,0.0,,,,,1.0,1.0,TOX26787,N#CC(c1ccc(Cl)cc1)c1c(Cl)cc(-n2ncc(=O)[nH]c2=O)cc1Cl,0.0,[0 1 0 ... 0 0 0],55
3522,3522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4774,FC(F)(F)c1ccccc1Cl,0.0,[0 0 0 ... 0 0 0],55
3527,3527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4773,FC(F)(F)c1cccc(Cl)c1,0.0,[0 0 0 ... 0 0 0],55
3542,3542,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,0.0,,1.0,,TOX2345,Clc1ccc(C(c2ccccc2Cl)C(Cl)(Cl)Cl)cc1,0.0,[0 1 0 ... 0 0 0],55
3564,3564,0.0,0.0,1.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,TOX25973,Oc1ccc(Cl)c2cccnc12,1.0,[0 0 0 ... 0 0 0],55
3622,3622,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX7593,Clc1ccc(C(Cl)(Cl)Cl)cc1,0.0,[0 0 0 ... 0 0 0],55
3658,3658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX24780,Cc1cc(Cl)c(C)cc1Cl,0.0,[0 0 0 ... 0 0 0],55
3716,3716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX25568,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,0.0,[0 0 0 ... 0 0 0],55
3725,3725,0.0,0.0,1.0,1.0,,0.0,,1.0,0.0,,0.0,0.0,TOX28533,N#C/C(=C1/SC[C@@H](c2ccc(Cl)cc2Cl)S1)n1ccnc1,1.0,[0 0 0 ... 0 0 0],55
3737,3737,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,TOX21336,[O-]c1cc(Cl)c(Cl)cc1Cl,1.0,[0 0 0 ... 0 0 0],55
3741,3741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX7452,COc1cc(Cl)ccc1Cl,0.0,[0 0 0 ... 0 0 0],55
3744,3744,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,,TOX26140,Cc1nc2ccccc2n1Cc1ccc(Cl)cc1,0.0,[0 0 0 ... 0 0 0],55
3826,3826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX2361,C=CC1(C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O,0.0,[0 0 0 ... 0 0 0],55
3879,3879,0.0,0.0,0.0,,,0.0,,,1.0,,0.0,0.0,TOX2577,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,0.0,[0 0 0 ... 0 0 0],55
3931,3931,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TOX1717,Cc1cc(O)ccc1Cl,0.0,[0 0 0 ... 0 0 0],55
3932,3932,0.0,0.0,1.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0,TOX1716,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,1.0,[0 0 0 ... 0 0 0],55
3987,3987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX21507,COc1ccc(Cl)cc1C,0.0,[0 0 0 ... 0 0 0],55
3988,3988,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,TOX21506,Oc1ccc(Cl)cc1C1CCCC1,0.0,[0 0 0 ... 0 0 0],55
3989,3989,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,TOX288,Cc1cc(Cl)ccc1N,1.0,[0 0 0 ... 0 0 0],55
4014,4014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX20296,O=C(O)c1c(Cl)ccc(Cl)c1Cl,1.0,[0 0 0 ... 0 0 0],55
4062,4062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX572,Clc1ccc2c(c1)C(c1ccccc1)=NCc1nncn1-2,0.0,[0 0 0 ... 0 0 0],55
4089,4089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX287,Cc1ccc(Cl)cc1N,0.0,[0 0 0 ... 0 0 0],55
4093,4093,1.0,0.0,1.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,TOX283,Nc1ccc(Cl)cc1N,1.0,[0 0 0 ... 0 0 0],55
4146,4146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,TOX2813,O=c1[nH]c2cc(Cl)ccc2o1,0.0,[0 0 0 ... 0 0 0],55
4163,4163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX25749,Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,0.0,[0 0 0 ... 0 0 0],55
4166,4166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX25741,COP(=O)(OC)OC(c1ccc(Cl)cc1)P(=O)(OC)OC,0.0,[0 1 0 ... 0 0 0],55
4266,4266,0.0,0.0,1.0,,0.0,0.0,,1.0,0.0,0.0,1.0,1.0,TOX20720,Nc1cc(Cl)c(O)c(Cl)c1,1.0,[0 0 0 ... 0 0 0],55
4281,4281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1544,Oc1ccccc1Cl,0.0,[0 0 0 ... 0 0 0],55
4294,4294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX28585,C[C@H]1CNCCc2ccc(Cl)cc21,0.0,[0 0 0 ... 0 0 0],55
4317,4317,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX8967,Clc1ccc(C(Cl)(Cl)Cl)cn1,1.0,[0 0 0 ... 0 0 0],55
4405,4405,0.0,0.0,1.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,,TOX2837,Oc1c(I)cc(Cl)c2cccnc12,1.0,[0 0 0 ... 1 0 0],55
4406,4406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,TOX2839,CC(C)/N=c1/cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,0.0,[0 1 0 ... 0 0 0],55
4473,4473,0.0,,1.0,,,0.0,,,0.0,1.0,1.0,,TOX2220,Oc1cc(Cl)c(Cl)c(Cl)c1Cl,1.0,[0 0 0 ... 0 0 0],55
4496,4496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX21185,N#CCc1ccc(Cl)cc1Cl,0.0,[0 0 0 ... 0 0 0],55
4499,4499,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,1.0,,TOX21547,Cc1cc(O)c(C(C)C)cc1Cl,0.0,[0 1 0 ... 0 0 0],55
4545,4545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX20702,Cc1ccc(Cl)cc1Cl,0.0,[0 0 0 ... 0 0 0],55
4614,4614,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TOX12113,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,0.0,[1 0 1 ... 0 0 0],55
4686,4686,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,TOX2855,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,0.0,[0 0 0 ... 0 0 0],55
4757,4757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX24473,O=S(=O)(O)c1ccc(Cl)cc1,0.0,[0 0 0 ... 0 0 0],55
4767,4767,0.0,0.0,0.0,,,,,,0.0,,1.0,,TOX450,OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl,0.0,[0 0 0 ... 0 0 0],55
4788,4788,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,TOX4986,O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.0,[0 0 0 ... 0 0 0],55
4805,4805,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX26725,Oc1cn2c(n1)Nc1ccc(Cl)c(Cl)c1C2,1.0,[0 0 0 ... 0 0 0],55
4814,4814,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX4320,Clc1cc(Cl)c(Cl)cc1Cl,0.0,[0 0 0 ... 0 0 0],55
4877,4877,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,,TOX5006,Oc1cc(Cl)cc(Cl)c1,0.0,[0 0 0 ... 0 0 0],55
4879,4879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX2056,Clc1cccc(Cl)c1,0.0,[0 0 0 ... 0 0 0],55
4880,4880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,TOX5003,Oc1cc(Cl)ccc1Cl,0.0,[0 0 0 ... 0 0 0],55
4970,4970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX2914,CC1=Nc2ccc(Cl)cc2S(=O)(=O)N1,0.0,[0 0 0 ... 0 0 0],55
5017,5017,0.0,0.0,0.0,,,0.0,1.0,,0.0,1.0,1.0,1.0,TOX690,Oc1c(Cl)cc(Cl)c(Cl)c1Cc1c(O)c(Cl)cc(Cl)c1Cl,0.0,[0 0 0 ... 0 0 0],55
5049,5049,0.0,,0.0,,,0.0,,,0.0,1.0,1.0,1.0,TOX1342,Oc1c(Cl)cc(Cl)cc1Sc1cc(Cl)cc(Cl)c1O,0.0,[0 1 0 ... 0 0 0],55
